    3580 permit tcp host 192.168.32.16 any eq 1588
    320 permit tcp host 192.168.32.16 any eq 1589
    3600 permit tcp host 192.168.32.16 any eq 3306
    3590 permit tcp host 192.168.32.16 any eq 3388
    3560 permit tcp host 192.168.32.16 host 10.10.100.221 eq 1589
    3570 permit tcp host 192.168.32.16 host 10.10.100.222 eq 1589
    200 permit tcp host 192.168.32.16 host 10.10.100.49 eq 3388
    330 permit tcp host 192.168.32.16 host 10.10.100.50 eq 3388
    340 permit tcp host 192.168.32.16 host 10.21.100.49 eq 3388
    350 permit tcp host 192.168.32.16 host 10.21.100.50 eq 3388
    1580 permit tcp host 192.168.32.17 host 10.10.100.11 eq 1588
    2720 permit tcp host 192.168.32.17 host 10.10.100.12 eq 1588
    3260 permit tcp host 192.168.32.17 host 10.10.100.12 eq 3306
    2990 permit tcp host 192.168.32.17 host 10.10.100.12 eq 3388
    1700 permit tcp host 192.168.32.17 host 10.10.100.220 eq 1588
    1690 permit tcp host 192.168.32.17 host 10.10.100.221 eq 1588
    1720 permit tcp host 192.168.32.17 host 10.10.100.222 eq 1588
    1760 permit tcp host 192.168.32.17 host 10.10.100.226 eq 1589
    1770 permit tcp host 192.168.32.17 host 10.10.100.227 eq 1589
    2710 permit tcp host 192.168.32.17 host 10.10.100.22 eq 1588
    3250 permit tcp host 192.168.32.17 host 10.10.100.22 eq 3306
    2980 permit tcp host 192.168.32.17 host 10.10.100.22 eq 3388
    2910 permit tcp host 192.168.32.17 host 10.10.100.31 eq 1588
    3450 permit tcp host 192.168.32.17 host 10.10.100.31 eq 3306
    3180 permit tcp host 192.168.32.17 host 10.10.100.31 eq 3388
    2950 permit tcp host 192.168.32.17 host 10.10.100.36 eq 1588
    3490 permit tcp host 192.168.32.17 host 10.10.100.36 eq 3306
    3220 permit tcp host 192.168.32.17 host 10.10.100.36 eq 3388
    2960 permit tcp host 192.168.32.17 host 10.10.100.39 eq 1588
    3500 permit tcp host 192.168.32.17 host 10.10.100.39 eq 3306
    3230 permit tcp host 192.168.32.17 host 10.10.100.39 eq 3388
    370 permit tcp host 192.168.32.17 host 10.10.100.50 eq 3388
    2780 permit tcp host 192.168.32.17 host 10.10.100.53 eq 1588
    3320 permit tcp host 192.168.32.17 host 10.10.100.53 eq 3306
    3050 permit tcp host 192.168.32.17 host 10.10.100.53 eq 3388
    2790 permit tcp host 192.168.32.17 host 10.10.100.81 eq 1588
    3330 permit tcp host 192.168.32.17 host 10.10.100.81 eq 3306
    3060 permit tcp host 192.168.32.17 host 10.10.100.81 eq 3388
    2940 permit tcp host 192.168.32.17 host 10.10.100.85 eq 1588
    3480 permit tcp host 192.168.32.17 host 10.10.100.85 eq 3306
    3210 permit tcp host 192.168.32.17 host 10.10.100.85 eq 3388
    2700 permit tcp host 192.168.32.17 host 10.10.100.87 eq 1588
    3240 permit tcp host 192.168.32.17 host 10.10.100.87 eq 3306
    2970 permit tcp host 192.168.32.17 host 10.10.100.87 eq 3388
    430 permit tcp host 192.168.32.17 host 10.10.100.90 eq 1588
    2750 permit tcp host 192.168.32.17 host 10.10.100.91 eq 1588
    3290 permit tcp host 192.168.32.17 host 10.10.100.91 eq 3306
    3020 permit tcp host 192.168.32.17 host 10.10.100.91 eq 3388
    2760 permit tcp host 192.168.32.17 host 10.10.100.92 eq 1588
    3300 permit tcp host 192.168.32.17 host 10.10.100.92 eq 3306
    3030 permit tcp host 192.168.32.17 host 10.10.100.92 eq 3388
    2740 permit tcp host 192.168.32.17 host 10.10.100.93 eq 1588
    3280 permit tcp host 192.168.32.17 host 10.10.100.93 eq 3306
    3010 permit tcp host 192.168.32.17 host 10.10.100.93 eq 3388
    2730 permit tcp host 192.168.32.17 host 10.10.100.94 eq 1588
    3270 permit tcp host 192.168.32.17 host 10.10.100.94 eq 3306
    3000 permit tcp host 192.168.32.17 host 10.10.100.94 eq 3388
    1860 permit tcp host 192.168.32.17 host 10.10.100.95 eq 1588
    2770 permit tcp host 192.168.32.17 host 10.10.100.99 eq 1588
    3310 permit tcp host 192.168.32.17 host 10.10.100.99 eq 3306
    3040 permit tcp host 192.168.32.17 host 10.10.100.99 eq 3388
    410 permit tcp host 192.168.32.17 host 10.10.10.98 eq 1588
    2920 permit tcp host 192.168.32.17 host 10.21.100.110 eq 1588
    3460 permit tcp host 192.168.32.17 host 10.21.100.110 eq 3306
    3190 permit tcp host 192.168.32.17 host 10.21.100.110 eq 3388
    2840 permit tcp host 192.168.32.17 host 10.21.100.13 eq 1588
    3380 permit tcp host 192.168.32.17 host 10.21.100.13 eq 3306
    3110 permit tcp host 192.168.32.17 host 10.21.100.13 eq 3388
    2900 permit tcp host 192.168.32.17 host 10.21.100.31 eq 1588
    3440 permit tcp host 192.168.32.17 host 10.21.100.31 eq 3306
    3170 permit tcp host 192.168.32.17 host 10.21.100.31 eq 3388
    380 permit tcp host 192.168.32.17 host 10.21.100.35 eq 3388
    3540 permit tcp host 192.168.32.17 host 10.21.100.36 eq 3388
    3550 permit tcp host 192.168.32.17 host 10.21.100.36 eq 3389
    390 permit tcp host 192.168.32.17 host 10.21.100.37 eq 3388
    400 permit tcp host 192.168.32.17 host 10.21.100.38 eq 3388
    2800 permit tcp host 192.168.32.17 host 10.21.100.41 eq 1588
    3340 permit tcp host 192.168.32.17 host 10.21.100.41 eq 3306
    3070 permit tcp host 192.168.32.17 host 10.21.100.41 eq 3388
    2810 permit tcp host 192.168.32.17 host 10.21.100.45 eq 1588
    3350 permit tcp host 192.168.32.17 host 10.21.100.45 eq 3306
    3080 permit tcp host 192.168.32.17 host 10.21.100.45 eq 3388
    2820 permit tcp host 192.168.32.17 host 10.21.100.46 eq 1588
    3360 permit tcp host 192.168.32.17 host 10.21.100.46 eq 3306
    3090 permit tcp host 192.168.32.17 host 10.21.100.46 eq 3388
    100 permit tcp host 192.168.32.17 host 10.21.100.50 eq 1588
    210 permit tcp host 192.168.32.17 host 10.21.100.50 eq 1589
    110 permit tcp host 192.168.32.17 host 10.21.100.51 eq 1588
    220 permit tcp host 192.168.32.17 host 10.21.100.51 eq 1589
    120 permit tcp host 192.168.32.17 host 10.21.100.52 eq 1588
    230 permit tcp host 192.168.32.17 host 10.21.100.52 eq 1589
    130 permit tcp host 192.168.32.17 host 10.21.100.53 eq 1588
    240 permit tcp host 192.168.32.17 host 10.21.100.53 eq 1589
    140 permit tcp host 192.168.32.17 host 10.21.100.54 eq 1588
    250 permit tcp host 192.168.32.17 host 10.21.100.54 eq 1589
    150 permit tcp host 192.168.32.17 host 10.21.100.55 eq 1588
    260 permit tcp host 192.168.32.17 host 10.21.100.55 eq 1589
    160 permit tcp host 192.168.32.17 host 10.21.100.56 eq 1588
    270 permit tcp host 192.168.32.17 host 10.21.100.56 eq 1589
    170 permit tcp host 192.168.32.17 host 10.21.100.57 eq 1588
    280 permit tcp host 192.168.32.17 host 10.21.100.57 eq 1589
    180 permit tcp host 192.168.32.17 host 10.21.100.58 eq 1588
    290 permit tcp host 192.168.32.17 host 10.21.100.58 eq 1589
